anio,codigo,descripcion,categoria,total
2017,6820,No respetar lugar asc/desc-acercar a acera/puertas abiertas etc(pasajeros),otras,700
2017,6830,Ocupar lugar no destinado para viajar,otras,17
2017,6840,No cumplir norma uso radio/reproductor sonido/fumar/trato al pasajero,otras,33
2017,6850,No cumplir norma horario/ropa/requisito vehiculo Tte. pasajero,otras,11
2017,6860,No Cumplir Normas s/requisitos Vehículos  Escolares c/habilitación,otras,12
2017,6861,No Cumplir Normas  s/requisitos Vehículos Escolares sin habilitación,otras,1
2017,6862,Conducir sin poseer la licencia,otras,4094
2017,6870,No Cumplir Normas s/requisitos Vehículos de Transporte c/habilitación,otras,61
2017,6871,Servicio de Taxis Sin Habilitación,otras,53
2017,6872,Servicio de radio taxis que incumpla la normativa legal vigente,otras,29
2017,6874,Radio taxi con IRA vencido y/o que a su baja no hubiere eliminado las señales que lo identificaban,otras,1
2017,6875,"Servicio de radio taxi, titular o mandataria que realice promociones o cobre tarifa no autorizada",otras,1
2017,6876,No aplicación de la tarifa de taxi vigente,otras,1
2017,6877,No Cumplir Normas/requisitos Vehículos de Transporte sin habilitación,otras,550
2017,6880,No cumplir norma  Peso/dimen/permisos/carga descubierta/seguro(carga),otras,31
2017,6881,"Transporte de carga (transp.Explosivos, inflamables, animales, etc.)",otras,5
2017,6890,Carga y descarga fuera de hora/lugar prohibido,otras,940
2017,6900,Estac. lugar prohib./forma indebida/antirreglamentaria,estacionamiento,915451
2017,6901,Estac. lugar prohib./forma indebida/antirreglamentaria(carga/pasajeros),estacionamiento,1
2017,6906,Detención en Zona Exclusiva de Motos,estacionamiento,577
2017,6910,Estac. LUGAR RESERVADO (paradas/garage/ciclovias/carril exclusivo/Micro-Macrocentro/otros),estacionamiento,76270
2017,6920,Estac. lugar sin ticket/hora vencida,estacionamiento,37791
2017,6935,Estacionamiento en areas peatonales,estacionamiento,79701
2017,6950,Enseñar conduccion en lugar no autorizado,estacionamiento,32
2017,6960,Enseñar conduccion (por Academia) en lugar no autorizado,estacionamiento,27
2017,6970,Peaton: No respetar lugar cruce calles/aven./semaforos,estacionamiento,48
2017,6980,No respetar indicaciones Autoridad dirige Transito,estacionamiento,19812
2017,7000,Circular sin utilizar Casco-conductor/acompañante(Moto/Ciclom./Motoneta),alcohol_otros,2
2017,7001,Infraccion regimen motovehiculos,alcohol_otros,19824
2017,7002,Circular con acompañante que no usa el  CHALECO reflectante obligatorio (MOTO),alcohol_otros,83
2017,7010,Circular sin utilizar Antiparras (Moto/Ciclomotor/motoneta),alcohol_otros,40
2017,7021,Infraccion regimen ciclorodados,alcohol_otros,117
2017,7030,Incumplir Normas Tte.Privado pasajeros/Alquiler auto s/chofer,alcohol_otros,8
2017,7045,Obstruccion de estacionamiento y/o circulacion,alcohol_otros,3110
2017,7050,Violar Luz Roja,alcohol_otros,106921
2017,7062,Negarse a someterse al control de alcoholemia/estupefac/otra sustancia similar (conductor/acompaña),alcohol,182
2017,7063,Contribución a conducción peligrosa.,alcohol_otros,14
2017,7064,Utilizar en infraccion cartel/credencial/documento sobre franquicia transito/estacionamiento,alcohol_otros,247
2017,7065,Uso indebido de luces,alcohol_otros,3038
2017,7066,Utilizacion de luces prohibidas,alcohol_otros,42
2017,7530,Circular en Infraccion Normas regulan servicio Remise/Escolares/Taxi,alcohol_otros,45
2017,7540,No cumplir Norma de habilitacion tecnica Remise/Escolares/Taxi,alcohol_otros,12
2017,7550,Explotar sin autorización para prestar el servicio Remise/Escolares/Taxi,alcohol_otros,11
2017,7551,Alteraciones en el reloj taxímetro (titular y/o mandataria),alcohol_otros,1
2017,7552,Alteraciones con dispositivos mecánicos electrónicos a fin de incrementar la tarifa,alcohol_otros,2
2017,8080,Abandonar vehiculo en la via publica,otras,2981
2017,8880,Incumplimiento de identificacion de conductor,otras,1051
2017,8884,Señalizacion de obras,otras,1
2017,8885,"Paradas, otras señales y simbolos",otras,13
2017,8886,Conductores principiantes,otras,13
2017,8900,No respetar límite velocidad Ley Nacional 24449,otras,1
2017,8910,Violación de Barreras Ferroviarias - Particular,otras,336
2017,8911,Violación de Barreras Ferroviarias - Transporte,otras,36
2017,8915,Otorgamiento de viajes de manera no autorizada,otras,1
2017,8916,Habilitación de empresa de radio taxi vencida (mas de 30 y hasta 180 días),otras,3
2017,8920,Asignación de viajes de radio taxi a vehículos sin licencias de taxis (quien asigne viajes),otras,2
2017,8923,Promociones de radio taxi,otras,1
2017,8928,Personal de la empresa de radio taxi (trabajadores sin cumplir registración según leyes laborales)),otras,1
2017,8930,Horario estación central,otras,2
2017,8939,Equipo no homologado (quien preste servicios sin haber verificado y/o registrado ante la Autoridad,otras,6
2018,1111,Expediente Infraccion de Transito,otras,6072
2018,1131,Cruzar vias con barreras totalmente bajas,otras,15
2018,1149,Otras infracciones de transito,otras,21
2018,1842,Infrac normas regulan circulacion bicicletas,otras,1
2018,6100,Conducir sin portar la licencia,documentacion,4229
2018,6105,Falta de licencia o documentación o inhabilitado (transporte público),otras,112
2018,6110,Permitir conducir sin Licencia o Inhabilitado (titular/transporte),otras,23
2018,6120,Conducir con Licencia Vencida o Caduca,documentacion,2579
2018,6121,"Permitir conducir con licencia o documentación vencida (titular, mandataria o responsable)",otras,615
2018,6122,Licencia o documentación habilitante vencida (transporte público),otras,240
2018,6130,Conducir sin anteojos o lentes contacto segun Licencia,otras,40
2018,6140,Conducir c/licencia conductor No Correspondiente,otras,1902
2018,6150,Permitir Conducir c/licencia conductor No Correspondiente(titular/transporte),otras,57
2018,6160,Permitir o Facilitar manejo persona sin edad s/tipo vehiculo,otras,37
2018,6161,Exhibición de documentación (no exhibir ced verde vigente a nombre del tit  o ced azul de conductor),documentacion,7713
2018,6162,"Exceso de Velocidad + de 140 Km/h (taxis, pasajeros, escolares o remises)",otras,10
2018,6163,"Exceso de Velocidad mas de 20Km/h en Calle o Avenida (taxis, pasajeros, escolares, remises)",otras,842
2018,6164,"Exceso de Velocidad en màs de 40Km/h en vías rápidas (taxis, pasajeros, escolares o remises)",otras,35
2018,6165,Trans de sustancias peligrosas (no exhibir corresp insc en Reg de Transportistas segun norm vigente),otras,3
2018,6166,Vehiculo Transporte de sustancias alimenticias sin habilitaciòn,otras,7
2018,6167,"Obstruccion de via (en carriles exclusivos y/o, metrobus y premetro)",otras,3956
2018,6168,"Titular o responsable vehiculo transporte de escolares que dañe, altere o retire disp de alcoholemia",alcohol,6
2018,6169,"Conductor que dañe, altere o retire dispositivo",otras,8
2018,6170,No exhibir documentacion segun reglamentacion,otras,1
2018,6171,Obstruir LUGAR RESERVADO Vehíc. Persona discapac./RAMPA discapac.,otras,1026
2018,6172,Obstruccion de circulacion al transito,otras,11
2018,6180,No exhibir documentacion sobre transporte de sustancias peligrosas,otras,23
2018,6181,Conductor vehiculo con taximetro que se negara sin justificacion a transportar pasajero,otras,9
2018,6182,Cond vehiculo con taximetro que se negara a interrumpir func del mecanismo y/o disp de publicidad,otras,2
2018,6183,Cond vehiculo con taximetro que no porte ficha identif del titular de la licencia o la del conductor,otras,11
2018,6184,Titular vehiculo de carga exceda peso maximo por eje,otras,14
2018,6185,Carga y descarga (propietario y/o responsable del comercio),otras,505
2018,6186,"Violacion de semaforo (taxis, escolares , pasajeros, remises. Prestando servicio)",otras,4862
2018,6187,"Negativa de someterse a control (taxis, escolares , pasajeros, remises. Prestando servicio)",alcohol,24
2018,6190,Falta poliza seguro contra terceros,otras,4079
2018,6191,Falta poliza seguro contra terceros (no cuente),otras,3085
2018,6200,Placas dominio. Falta/antirreglamentarias/mal estado,otras,23452
2018,6210,Placas dominio(Motos). Falta/antirreglamentarias/mal estado,otras,1
2018,6220,Circular con Placas de OTRO dominio.,otras,25
2018,6230,Circular con equipo Antiradar o Antifoto,otras,52
2018,6240,Revision tecnica No porte certificado,otras,473
2018,6241,Revision tecnica (no realizarla o certificado vencido),otras,3488
2018,6242,Incumplimiento grabado de autopartes (Titular/Tomador),otras,265812
2018,6243,Incumplimiento grabado de autopartes (Gestor /Mandat /Concesionaria /Intermediario ),otras,67
2018,6250,Frenos/Luces/elementos seguridad Falta o Deficientes,otras,2026
2018,6270,No uso cinturon de seguridad,otras,37230
2018,6271,Menores de edad en asiento trasero SIN dispositivo retencion infantil o SIN acompañante mayor,otras,141
2018,6272,Sistemas o dispositivos de retencion infantil,otras,1519
2018,6280,"Limitador de velocidad, Falta / Funciona incorrectamente",otras,22
2018,6290,"Dispositivo control gases, Falta /Mal funcionamiento",otras,70
2018,6310,Verter liquido combustible o aguas servidas,otras,29
2018,6330,Dispositivo de control de ruido y silenciador Falta /Mal funcionamiento,otras,1400
2018,6350,Uso indebido e bocina,otras,1440
2018,6370,Colocacion Bocinas o sirenas antirreglamentarias,otras,168
2018,6390,Uso Paragolpe antirreglamentario,otras,51
2018,6410,Falta Paragolpe,otras,98
2018,6430,Uso de Vidrios tonalizados antirreglamentarios,otras,329
2018,6450,"Falta/sin vision, Espejos Retrovisores",otras,2705
2018,6470,Falta Tapa Combustible,otras,14
2018,6490,Conducir utilizando Celular / Auriculares / Reproductor de video,otras,190505
2018,6492,Conductor redactando/enviando mensaje de texto,otras,23512
2018,6501,Permitir Viajar personas impedidas en asiento delantero,velocidad,17045
2018,6525,Exceso Velocidad hasta 10Km/h de la Máxima permitida para el tipo de arteria,velocidad,167436
2018,6526,Exceso Velocidad más de 10Km/h y hasta 20Km/h de la Máxima permitida para el tipo de arteria,velocidad,95637
2018,6527,Exceso Velocidad hasta 20Km/h de la Máxima permitida en vías rápidas,velocidad,568922
2018,6528,Exceso Velocidad más de 20Km/h y hasta 40Km/h de la Máxima permitida en vías rápidas,velocidad,64266
2018,6529,Exceso Velocidad más 20Km de la Máxima permitida para el tipo de arteria y hasta 140 km/h,velocidad,20930
2018,6530,Exceso Velocidad más de 40Km/h de la Máxima permitida en vías rápidas y hasta 140 km/h,velocidad,2620
2018,6531,Exceso Velocidad más de 140Km/h,velocidad,1231
2018,6540,Circulación en sentido contrario,velocidad,8839
2018,6560,Invasión parcial de vías,velocidad,155
2018,6580,No respetar carriles/Maniobras Peligrosas,velocidad,18507
2018,6600,Girar a izquierda/derecha en lugar prohibido,otras,27936
2018,6620,No respetar paso o cartel PARE en bocacalle,otras,59
2018,6640,Marcha atras en forma indebida,otras,2243
2018,6660,Forzar barrera/evadir pago peaje autopista,peajes,134804
2018,6680,Obstruir vía Transversal/Ciclovía/Vereda/Estac. reservado,otras,4843
2018,6700,No ceder Paso a Polic/Bombe/Ambula/Serv.Pub.o Urgen.,otras,73
2018,6720,Interrumpir Filas Escolares,otras,14
2018,6740,No respetar Senda Peatonal/Paso Peaton,otras,27344
2018,6760,Circular por Zona/Carril o c/peso/poten./tamaño Prohibido,carriles,106561
2018,6761,"Carriles o vías prohíbidas (tránsito rápido,diferenciado,metrobus)",carriles,31635
2018,6762,"Carriles o vías prohíbidas (ciclovía,contramano en contracarril)",otras,3377
2018,6780,Prohib.circular según DIA/HORA/CARAC.VEHIC (vehículos),otras,434655
2018,6781,Prohib.circular según DIA/HORA/CARAC.VEHIC y/u OCUPANTES (moto),otras,46
2018,6782,Prohib.circular según DIA/HORA/CARAC.VEHIC y/u OCUPANTES s/norma 5.3.2.i Ley2148 (MOTO),otras,16
2018,6800,Nro.ocupantes mayor a capacidad vehiculo,otras,1150
2018,6820,No respetar lugar asc/desc-acercar a acera/puertas abiertas etc(pasajeros),otras,1504
2018,6830,Ocupar lugar no destinado para viajar,otras,25
2018,6840,No cumplir norma uso radio/reproductor sonido/fumar/trato al pasajero,otras,79
2018,6850,No cumplir norma horario/ropa/requisito vehiculo Tte. pasajero,otras,96
