anio,codigo,descripcion,total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,fuente,categoria
2016,6960,Enseñar conduccion (por Academia) en lugar no autorizado,20,2,3,0,0,1,1,1,1,0,7,2,2,infracciones_2016,estacionamiento
2016,6970,Peaton: No respetar lugar cruce calles/aven./semaforos,116,26,12,12,10,14,4,2,4,7,12,6,7,infracciones_2016,estacionamiento
2016,6980,No respetar indicaciones Autoridad dirige Transito,9063,673,627,632,467,822,771,506,851,653,789,738,1534,infracciones_2016,estacionamiento
2016,7001,Infraccion regimen motovehiculos,11955,983,1004,1106,689,886,862,635,827,888,1067,1044,1964,infracciones_2016,alcohol_otros
2016,7010,Circular sin utilizar Antiparras (Moto/Ciclomotor/motoneta),45,0,3,8,3,3,6,8,5,5,3,0,1,infracciones_2016,alcohol_otros
2016,7021,Infraccion regimen ciclorodados,136,11,33,37,6,8,7,3,8,4,7,7,5,infracciones_2016,alcohol_otros
2016,7030,Incumplir Normas Tte.Privado pasajeros/Alquiler auto s/chofer,13,0,1,3,1,1,0,1,2,0,1,2,1,infracciones_2016,alcohol_otros
2016,7045,Obstruccion de estacionamiento y/o circulacion,164,2,4,3,8,23,10,2,15,12,28,26,31,infracciones_2016,alcohol_otros
2016,7050,Violar Luz Roja,58191,4253,4605,3754,2658,5588,4430,3752,5278,5000,5113,5318,8442,infracciones_2016,alcohol_otros
2016,7062,Negarse a someterse al control de alcoholemia/estupefac/otra sustancia similar (conductor/acompaña),141,11,14,11,8,11,12,8,19,11,13,11,12,infracciones_2016,alcohol
2016,7063,Contribución a conducción peligrosa.,14,3,1,0,1,2,0,1,1,2,1,1,1,infracciones_2016,alcohol_otros
2016,7064,Utilizar en infraccion cartel/credencial/documento sobre franquicia transito/estacionamiento,233,19,17,18,13,27,16,12,25,17,28,18,23,infracciones_2016,alcohol_otros
2016,7065,Uso indebido de luces,1865,270,123,503,162,153,28,38,59,57,62,148,262,infracciones_2016,alcohol_otros
2016,7066,Utilizacion de luces prohibidas,16,2,1,2,2,1,1,0,1,1,0,5,0,infracciones_2016,alcohol_otros
2016,7551,Alteraciones en el reloj taxímetro (titular y/o mandataria),2,1,0,0,0,0,0,0,1,0,0,0,0,infracciones_2016,alcohol_otros
2016,7552,Alteraciones con dispositivos mecánicos electrónicos a fin de incrementar la tarifa,2,0,0,0,2,0,0,0,0,0,0,0,0,infracciones_2016,alcohol_otros
2016,8880,Incumplimiento de identificacion de conductor,2070,309,451,447,508,94,25,104,48,39,20,25,0,infracciones_2016,otras
2016,8885,"Paradas, otras señales y simbolos",26,0,14,5,0,2,0,0,2,0,0,1,2,infracciones_2016,otras
2016,8886,Conductores principiantes,8,0,1,2,0,0,0,0,0,2,1,0,2,infracciones_2016,otras
2016,8900,No respetar límite velocidad Ley Nacional 24449,1,0,0,0,0,0,0,0,1,0,0,0,0,infracciones_2016,otras
2016,8910,Violación de Barreras Ferroviarias - Particular,115,22,21,19,7,7,3,10,1,5,8,5,7,infracciones_2016,otras
2016,8911,Violación de Barreras Ferroviarias - Transporte,6,0,1,0,0,0,1,0,2,0,2,0,0,infracciones_2016,otras
2016,8919,Asignación de viajes de radio taxi sin autorización,8,0,0,2,1,5,0,0,0,0,0,0,0,infracciones_2016,otras
2017,1111,Expediente Infraccion de Transito,13170,609,790,351,612,1141,473,1213,2625,1751,1263,897,1445,infracciones_2017,otras
2017,1131,Cruzar vias con barreras totalmente bajas,57,0,0,0,0,0,0,0,0,0,1,11,45,infracciones_2017,otras
2017,1149,Otras infracciones de transito,2284,95,134,213,79,256,148,176,654,240,114,79,96,infracciones_2017,otras
2017,6100,Conducir sin portar la licencia,3267,260,227,437,368,374,251,230,218,168,235,263,236,infracciones_2017,documentacion
2017,6105,Falta de licencia o documentación o inhabilitado (transporte público),202,19,15,13,5,15,11,8,16,7,21,43,29,infracciones_2017,otras
2017,6110,Permitir conducir sin Licencia o Inhabilitado (titular/transporte),54,1,3,7,1,4,5,2,2,2,6,8,13,infracciones_2017,otras
2017,6120,Conducir con Licencia Vencida o Caduca,3114,167,83,425,238,356,281,291,251,280,298,241,203,infracciones_2017,documentacion
2017,6121,"Permitir conducir con licencia o documentación vencida (titular, mandataria o responsable)",114,1,2,4,2,0,1,1,4,0,20,39,40,infracciones_2017,otras
2017,6122,Licencia o documentación habilitante vencida (transporte público),106,4,5,7,6,2,6,5,2,6,11,27,25,infracciones_2017,otras
2017,6130,Conducir sin anteojos o lentes contacto segun Licencia,66,3,4,8,4,7,5,6,5,3,7,7,7,infracciones_2017,otras
2017,6140,Conducir c/licencia conductor No Correspondiente,880,26,23,100,48,70,79,52,43,69,111,133,126,infracciones_2017,otras
2017,6150,Permitir Conducir c/licencia conductor No Correspondiente(titular/transporte),32,1,3,2,2,5,4,1,1,3,1,7,2,infracciones_2017,otras
2017,6160,Permitir o Facilitar manejo persona sin edad s/tipo vehiculo,25,0,3,3,1,5,2,3,4,3,1,0,0,infracciones_2017,otras
2017,6161,Exhibición de documentación (no exhibir ced verde vigente a nombre del tit  o ced azul de conductor),5786,293,244,875,626,639,438,431,387,406,480,547,420,infracciones_2017,documentacion
2017,6162,"Exceso de Velocidad + de 140 Km/h (taxis, pasajeros, escolares o remises)",11,2,2,0,1,0,1,1,1,0,2,1,0,infracciones_2017,otras
2017,6163,"Exceso de Velocidad mas de 20Km/h en Calle o Avenida (taxis, pasajeros, escolares, remises)",2260,318,242,235,222,149,194,217,107,186,169,64,157,infracciones_2017,otras
2017,6164,"Exceso de Velocidad en màs de 40Km/h en vías rápidas (taxis, pasajeros, escolares o remises)",104,18,6,15,9,14,16,5,3,0,1,11,6,infracciones_2017,otras
2017,6165,Trans de sustancias peligrosas (no exhibir corresp insc en Reg de Transportistas segun norm vigente),1,0,0,0,0,0,0,0,1,0,0,0,0,infracciones_2017,otras
2017,6167,"Obstruccion de via (en carriles exclusivos y/o, metrobus y premetro)",29825,32,31,51,48,215,88,157,110,60,28211,484,338,infracciones_2017,otras
2017,6168,"Titular o responsable vehiculo transporte de escolares que dañe, altere o retire disp de alcoholemia",9,0,1,0,0,0,1,4,0,1,0,1,1,infracciones_2017,alcohol
2017,6169,"Conductor que dañe, altere o retire dispositivo",7,0,0,0,0,4,0,0,1,1,0,1,0,infracciones_2017,otras
2017,6170,No exhibir documentacion segun reglamentacion,4,0,0,1,1,1,0,1,0,0,0,0,0,infracciones_2017,otras
